Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
03013,20050401,60,24,  42 ,  42, 25, 34, 23,  0,-,M  ,-,M   , 0.00,26.41,30.30,  8.2,26, 9.2, 22,25, 17,23
03013,20050402,73,24,  49 ,  49, 27, 38, 16,  0,-,M  ,-,M   , 0.00,26.21,30.01,  4.4,24, 6.8, 17,27, 16,27
03013,20050403,75,31,  53 ,  53, 32, 42, 12,  0,-,M  ,-,M   , 0.00,26.01,29.75,  3.8,24, 5.4, 14,25, 12,29
03013,20050404,79,35,  57 ,  57, 28, 44,  8,  0,-,M  ,-,M   , 0.00,25.81,31.11, 13.0,24,13.9, 39,26, 33,26
03013,20050405,57,46,  52 ,  52, 40, 45, 13,  0,RA FG HZ ,M  ,-,M   , 0.10,25.91,30.87, 31.5,35,32.5, 61,34, 53,35
03013,20050406,67,35,  51 ,  51, 31, 42, 14,  0,-,M  ,-,M   , 0.00,26.38,30.16, 19.6,35,20.2, 47,34, 38,35
03013,20050407,72,25,  49 ,  49, 28, 41, 16,  0,-,M  ,-,M   , 0.00,26.29,30.10,  6.0,17, 9.4, 24,16, 20,17
03013,20050408,80,43,  62 ,  62, 29, 46,  3,  0,TS HZ VCTS ,M  ,-,M   , 0.00,25.85,31.26, 13.2,20,15.5, 47,20, 38,20
03013,20050409,78,28,  53 ,  53, 21, 40, 12,  0,-,M  ,-,M   , 0.00,25.73,32.14,  7.7,21,11.3, 35,21, 29,22
03013,20050410,52,32,  42 ,  42, 35, 38, 23,  0,TS RA SN FG VCTS ,M  ,-,M   , 0.42,25.83,31.17, 19.3,1,20.8, 47,2, 41,3
03013,20050411,52,30,  41 ,  41, 30, 36, 24,  0,SN FG ,M  ,-,M   , 0.08,26.08,29.88, 17.9,34,19.4, 48,34, 43,34
03013,20050412,68,28,  48 ,  48, 29, 39, 17,  0,-,M  ,-,M   , 0.00,26.18,29.98,  9.0,32,11.9, 30,34, 26,33
03013,20050413,71,27,  49 ,  49, 33, 42, 16,  0,-,M  ,-,M   , 0.00,26.30,30.10,  5.3,11, 7.3, 23,11, 20,10
