Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
03013,20060101,57,25,  41 ,   0, 30, 36, 24,  0,-,-,-,-, 0.02,25.73,31.45,  8.9,32,11.2, 30,30, 26,31
03013,20060102,61,17,  39 ,   0, 20, 32, 26,  0,-,-,-,-, 0.00,26.09,29.89,  6.5,21, 8.3, 23,17, 20,17
03013,20060103,68,22,  45 ,   0, 20, 35, 20,  0,-,-,-,-, 0.00,26.06,29.87, 11.7,26,13.6, 49,25, 44,25
03013,20060104,52,17,  35 ,   0, 22, 31, 30,  0,-,-,-,-, 0.00,26.41,30.28,  2.6,30, 6.7, 20,33, 16,34
03013,20060105,52,18,  35 ,   0, 13, 28, 30,  0,-,-,-,-, 0.00,26.61,30.50,  6.8,32,10.9, 29,36, 24,36
03013,20060106,70,20,  45 ,   0, 15, 31, 20,  0,-,-,-,-, 0.00,26.35,30.21,  7.7,26, 8.6, 20,28, 17,27
03013,20060107,74,23,  49*,   0, 13, 34, 16,  0,-,-,-,-, 0.00,25.96,29.74,  9.4,26, 9.8, 25,25, 21,25
03013,20060108,62,27,  45 ,   0, 19, 35, 20,  0,SN FG ,-,-,-,  T  ,26.03,29.80,  6.8,35,12.6, 38,2, 32,2
03013,20060109,35,17,  26 ,  26, 25, 27, 39,  0,SN FG ,M  ,-,M   , 0.16,26.44,30.33,  1.4,28, 5.5, 22,2, 17,2
03013,20060110,47,14,  31 ,  31, 20, 25, 34,  0,-,M  ,-,M   , 0.00,26.23,30.14,  6.7,24, 7.4, 15,23, 14,22
03013,20060111,68,20,  44 ,  44, 21, 32, 21,  0,-,M  ,-,M   , 0.00,25.97,29.79,  7.8,25, 9.4, 25,27, 22,27
03013,20060112,48,23,  36 ,  36, 19, 30, 29,  0,-,M  ,-,M   , 0.00,26.02,29.84, 10.9,35,13.7, 47,34, 37,34
03013,20060113,52,18,  35 ,  35, 12, 25, 30,  0,-,M  ,-,M   , 0.00,26.38,30.27,  4.7,26, 6.9, 16,25, 14,24
03013,20060114,59,17,  38 ,  38, 21, 29, 27,  0,-,M  ,-,M   , 0.00,26.08,29.93,  3.9,24, 6.5, 17,21, 15,21
03013,20060115,66,23,  45 ,  45, 17, 33, 20,  0,-,M  ,-,M   , 0.00,25.84,30.21, 12.2,26,13.9, 41,26, 35,26
03013,20060116,45,20,  33 ,  33, 17, 28, 32,  0,-,M  ,-,M   , 0.00,26.09,29.90, 14.1,35,15.0, 36,35, 28,36
03013,20060117,51,8,  30 ,  30, 10, 22, 35,  0,-,M  ,-,M   , 0.00,26.16,30.04,  5.3,25, 6.7, 18,27, 15,30
03013,20060118,67,19,  43 ,  43, 18, 33, 22,  0,-,M  ,-,M   , 0.00,25.93,29.73,  7.1,24, 9.3, 32,27, 26,27
03013,20060119,48,22,  35 ,  35, 22, 30, 30,  0,SN FG ,M  ,-,M   ,  T  ,26.01,29.82,  6.1,5, 8.0, 24,3, 21,3
03013,20060120,35,11,  23 ,  23, 23, 25, 42,  0,SN FG ,M  ,-,M   , 0.05,26.27,30.16,  6.9,30,10.4, 22,2, 17,28
03013,20060121,35,4,  20*,  20, 11, 15, 45,  0,FG ,M  ,-,M   , 0.00,26.30,30.27,  2.3,27, 4.2,  9,18,  9,36
03013,20060122,37,9,  23 ,  23, 14, 19, 42,  0,-,M  ,-,M   , 0.00,26.41,30.38,  7.8,26, 9.1, 17,28, 16,29
03013,20060123,38,8,  23 ,  23, 13, 18, 42,  0,-,M  ,-,M   , 0.00,26.35,30.29,  6.4,26, 7.2, 15,31, 13,28
03013,20060124,47,19,  33 ,  33, 19, 25, 32,  0,-,M  ,-,M   , 0.00,26.51,-,  7.2,26,M   , 12,20, 12,20
03013,20060125,64,16,  40 ,  40, 18, 31, 25,  0,-,M  ,-,M   , 0.00,26.42,-,  9.3,20,10.2, 37,20, 31,21
03013,20060126,62,27,  45 ,  45, 22, 36, 20,  0,-,M  ,-,M   , 0.00,26.17,29.95, 15.4,22,17.9, 44,21, 39,21
03013,20060127,57,17,  37 ,  37, 21, 31, 28,  0,-,M  ,-,M   , 0.00,26.11,29.95,  2.9,20, 6.5, 22,19, 14,20
03013,20060128,51,17,  34 ,  34, 13, 28, 31,  0,-,M  ,-,M   , 0.00,26.02,29.84,  9.8,32,13.1, 41,34, 33,33
03013,20060129,53,14,  34 ,  34, 10, 25, 31,  0,-,M  ,-,M   , 0.00,26.08,29.94,  5.5,34, 9.0, 33,34, 28,34
03013,20060130,55,15,  35 ,  35, 12, 26, 30,  0,-,M  ,-,M   , 0.00,26.19,30.04,  3.1,21, 5.5, 18,17, 15,17
03013,20060131,73*,19,  46 ,  46, 22, 33, 19,  0,-,M  ,-,M   , 0.00,25.95,29.76,  6.2,29,11.4, 36,3, 28,2
03016,20060101,43,26,  35 ,   0, 29, 33, 30,  0,RA FG ,-,-,-, 0.13,24.30,29.82,  3.4,29, 4.1, 17,27, 13,29
03016,20060102,45,25,  35 ,   0, 26, 30, 30,  0,-,-,-,-, 0.00,24.43,30.00,  0.2,16, 1.2, 10,30,  8,30
03016,20060103,51*,29,  40*,   0, 28, 35, 25,  0,RA FG ,-,-,-, 0.17,24.50,30.02,  8.0,25,11.3, 51,24, 36,24
03016,20060104,41,27,  34 ,   0, 26, 30, 31,  0,-,-,-,-,  T  ,24.79,30.43,  1.9,24, 3.4, 24,26, 18,26
03016,20060105,40,19,  30 ,   0, 16, 24, 35,  0,-,-,-,-, 0.00,25.03,30.76,  0.7,14, 2.3, 12,8,  9,9
03016,20060106,44,19,  32 ,   0, 19, 25, 33,  0,-,-,-,-, 0.00,24.87,30.57,  0.3,17, 1.2,  9,19,  8,19
03016,20060107,45,19,  32 ,   0, 21, 28, 33,  0,-,-,-,-, 0.00,24.46,30.06,  0.5,21, 1.8, 12,26,  8,7
03016,20060108,43,23,  33 ,   0, 17, 28, 32,  0,-,-,-,-, 0.00,24.46,30.04,  4.7,29, 6.4, 25,23, 22,24
03016,20060109,36,19,  28 ,M   , 15, 22, 37,  0,-,M  ,-,M   , 0.00,24.78,30.49,  1.0,16, 2.2, 12,25,  9,25
03016,20060110,39,13,  26 ,M   , 12, 20, 39,  0,-,M  ,-,M   , 0.00,24.72,30.44,  0.4,18, 1.4, 10,20, 10,20
03016,20060111,39,13,  26 ,M   , 14, 21, 39,  0,-,M  ,-,M   , 0.00,24.49,30.16,  0.1,30, 1.5,  9,23,  7,34
03016,20060112,38,12,  25 ,M   , 17, 24, 40,  0,SN FG+ FG FZFG HZ ,M  ,-,M   , 0.11,24.53,30.16,  1.9,25, 4.2, 25,35, 20,35
03016,20060113,37,7,  22 ,M   ,  9, 17, 43,  0,-,M  ,-,M   , 0.00,24.76,30.52,  0.6,18, 1.6, 10,20,  9,20
03016,20060114,40,12,  26 ,M   , 15, 21, 39,  0,-,M  ,-,M   , 0.00,24.51,30.17,  0.3,18, 1.2, 12,33,  9,21
03016,20060115,36,21,  29 ,M   , 25, 27, 36,  0,SN FG+ FG FZFG ,M  ,-,M   , 0.03,24.28,29.83,  1.6,28, 3.1, 26,28, 18,28
03016,20060116,32,8,  20 ,M   , 12, 20, 45,  0,-,M  ,-,M   , 0.00,24.52,30.17,  6.7,30, 8.1, 41,6, 20,31
03016,20060117,32,7,  20 ,M   , 10, 18, 45,  0,-,M  ,-,M   , 0.00,24.67,30.42,  0.5,9, 1.4,  9,9,  8,9
03016,20060118,41,18,  30 ,M   , 21, 27, 35,  0,-,M  ,-,M   ,  T  ,24.35,29.96,  0.3,15, 3.4, 30,10, 29,9
03016,20060119,34,24,  29 ,M   , 25, 28, 36,  0,SN FG ,M  ,-,M   , 0.13,24.28,29.85,  7.0,29, 8.0, 22,31, 18,27
03016,20060120,32,5,  19 ,M   ,  8, 15, 46,  0,-,M  ,-,M   , 0.00,24.58,30.31,  0.8,27, 2.2, 16,29, 13,29
03016,20060121,29,3,  16*,M   ,  7, 14, 49,  0,-,M  ,-,M   , 0.00,24.64,30.38,  0.5,18, 1.2,  9,21,  8,21
03016,20060122,35,9,  22 ,M   ,  8, 16, 43,  0,-,M  ,-,M   , 0.00,24.68,30.43,  1.0,18, 2.2,  9,20,  9,20
03016,20060123,33,3,  18 ,M   ,  6, 14, 47,  0,-,M  ,-,M   , 0.00,24.77,30.55,  1.6,18, 2.4, 10,19,  9,20
