Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
03013,20050301,58,13,  36 ,   0, 16, 27, 29,  0,-,-,-,-, 0.00,26.15,29.99,  1.0,24, 3.6, 14,29, 13,15
03013,20050302,61,18,  40 ,   0, 22, 33, 25,  0,-,-,-,-, 0.00,26.16,29.98,  4.4,30, 8.2, 33,2, 28,1
03013,20050303,65,17,  41 ,   0, 21, 32, 24,  0,-,-,-,-, 0.00,26.17,30.01,  2.0,25, 4.1, 14,16, 12,22
03013,20050304,66,20,  43 ,   0, 16, 33, 22,  0,-,-,-,-, 0.00,26.24,30.06,  6.4,21, 8.6, 18,26, 16,26
03013,20050305,69,24,  47 ,   0, 20, 36, 18,  0,-,-,-,-, 0.00,26.32,30.12,  8.7,18,10.8, 30,21, 26,19
03013,20050306,72,30,  51 ,   0, 24, 39, 14,  0,-,-,-,-, 0.00,26.07,29.84,  4.6,26, 9.5, 30,2, 24,2
03013,20050307,60,28,  44 ,  44, 20, 36, 21,  0,-,M  ,-,M   , 0.00,26.17,29.95,  9.6,35,13.1, 36,35, 29,35
03013,20050308,59,19,  39 ,  39, 21, 32, 26,  0,HZ ,M  ,-,M   , 0.00,26.18,30.02,  6.6,34,10.2, 36,34, 31,34
03013,20050309,67,29,  48 ,  48, 26, 38, 17,  0,-,M  ,-,M   , 0.00,26.22,30.04,  8.0,26, 9.2, 23,29, 18,29
03013,20050310,60,30,  45 ,  45, 22, 36, 20,  0,-,M  ,-,M   , 0.00,26.28,30.08,  9.6,36,12.8, 36,2, 29,2
03013,20050311,69,25,  47 ,  47, 21, 35, 18,  0,-,M  ,-,M   , 0.00,26.22,30.02,  9.6,26,10.5, 25,29, 20,27
03013,20050312,80,28,  54 ,  54, 24, 39, 11,  0,-,M  ,-,M   , 0.00,25.94,29.70,  3.2,5,12.7, 40,3, 32,4
03013,20050313,41,26,  34 ,  34, 24, 31, 31,  0,SN FG ,M  ,-,M   , 0.01,26.23,30.07,  6.9,3, 8.5, 24,3, 20,3
03013,20050314,37,26,  32 ,  32, 24, 29, 33,  0,SN FG FZFG HZ ,M  ,-,M   , 0.01,26.28,30.17,  3.5,4, 7.7, 21,3, 17,3
03013,20050315,43,17,  30*,  30, 23, 28, 35,  0,FG ,M  ,-,M   ,  T  ,26.27,30.15,  4.3,24, 5.9, 15,24, 13,23
03013,20050316,55,12,  34 ,  34, 13, 26, 31,  0,-,M  ,-,M   , 0.01,26.14,30.01,  9.1,23, 9.8, 26,23, 20,23
